date,address,subArea,area,room,sqm,floor,objectType,constructionYear,areaTags,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-04-16,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1195000,255000,1450000,1762,HusmanHagberg,424.08088533962217,Racksta
2014-04-09,Peringskiöldsvägen 39,Norra Ångby,,Grön Hässelby,6,109,null,Villa,1937,[Bromma],7350000,950000,8300000,null,Bjurfors,902.986308330104,Islandstorget
2014-04-09,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,1,Lägenhet,1967,[Bromma],1195000,130000,1325000,1762,Hemverket,424.08088533962217,Racksta
2014-03-28,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,1,28,0,Lägenhet,1967,[Bromma Norra Ängby],1195000,215000,1410000,1762,HusmanHagberg,424.08088533962217,Racksta
2014-03-25,Tacitusvägen 4,Norra Ångby,,Grön Hässelby,7,107,null,Villa,1933,[Norra Ängby],null,NaN,7500000,null,Fastighetsbyrån,512.4310634566541,Angbyplan
2014-03-19,Björketorpsvägen 11,Norra Ångby,,Grön Hässelby,2,54,5,Lägenhet,1967,[Bromma Norra Ängby],1595000,135000,1730000,3398,HusmanHagberg,424.08088533962217,Racksta
2014-03-07,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,2,48,null,Lägenhet,2005,[Bromma],1495000,15000,1510000,3021,BOSTHLM,458.9843663866506,Racksta
2014-02-28,Dybecksvägen 49,Norra Ångby,,Grön Hässelby,6,73,null,Villa,1935,[Bromma],6200000,900000,7100000,null,Bjurfors,274.52613725296817,Angbyplan
2014-02-26,Björketorpsvägen 13,Norra Ångby,,Grön Hässelby,1,28,2,Lägenhet,1967,[Bromma Norra Ängby],1195000,245000,1440000,1762,HusmanHagberg,458.9843663866506,Racksta
2014-02-26,Spångavägen 47,Norra Ångby,,Grön Hässelby,2,59.5,4,Lägenhet,1940,[Bromma Brommaplan],1590000,35000,1625000,4398,Notar,469.20641129158423,Akeshov
2014-02-23,Bergslagsvägen 76,Norra Ångby,,Grön Hässelby,4,90.5,6,Lägenhet,2008,[Norra Ängby],3650000,-30000,3620000,4849,Svenska Mäklarhuset,75.17355522876532,Akeshov
2014-02-21,Björketorpsvägen 9,Norra Ångby,,Grön Hässelby,4,96,null,Lägenhet,2009,[Norra Ängby],2995000,25000,3020000,4986,Svensk Fastighetsförmedling,432.4527223685671,Racksta
2014-02-15,Beckombergavägen 65,Norra Ångby,,Grön Hässelby,6,54,null,Villa,1936,[Norra Ängby],4850000,625000,5475000,null,Svenska Mäklarhuset,565.3039378036497,Akeshov
